frame,track_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,box_width,box_height,box_area
7,6,person,0.8662,0.02,846.93,114.07,1201.72,57.05,1024.33,114.05,354.79,40464.8
7,7,person,0.8459,162.25,245.24,275.96,546.22,219.11,395.73,113.71,300.98,34223.96
7,8,person,0.8339,830.33,940.85,995.17,1295.79,912.75,1118.32,164.84,354.94,58510.05
7,9,person,0.7998,580.94,96.39,694.43,367.7,637.68,232.05,113.5,271.31,30792.72
7,10,person,0.7862,213.75,5.67,307.38,257.56,260.56,131.61,93.63,251.89,23585.38
7,11,person,0.8598,467.41,1503.91,669.01,1918.18,568.21,1711.04,201.6,414.28,83517.34
7,12,person,0.8514,748.34,315.96,839.73,568.07,794.03,442.01,91.39,252.12,23040.24
7,13,person,0.7143,31.92,0.0,109.82,213.57,70.87,106.78,77.9,213.57,16635.88
8,1,person,0.8925,109.07,853.38,253.44,1196.9,181.25,1025.14,144.37,343.51,49591.84
8,2,person,0.8751,496.6,475.86,647.38,792.58,571.99,634.22,150.78,316.72,47753.89
8,3,person,0.9016,655.84,1448.54,849.82,1861.79,752.83,1655.16,193.97,413.25,80159.96
8,4,person,0.8752,637.65,306.75,777.65,625.02,707.65,465.88,140.0,318.27,44555.8
8,5,person,0.8723,731.09,1019.4,864.57,1366.65,797.83,1193.03,133.48,347.25,46351.21
8,6,person,0.8714,0.0,855.48,116.09,1216.07,58.05,1035.78,116.09,360.6,41862.91
8,7,person,0.857,163.67,246.83,277.1,547.71,220.38,397.27,113.43,300.87,34128.95
8,8,person,0.8307,834.34,947.66,998.45,1303.73,916.4,1125.69,164.11,356.07,58434.95
8,9,person,0.7972,581.91,98.4,695.14,370.0,638.52,234.2,113.23,271.59,30753.62
8,10,person,0.8145,214.95,8.14,309.54,259.28,262.25,133.71,94.59,251.14,23756.57
8,11,person,0.8705,477.16,1515.02,682.78,1920.0,579.97,1717.51,205.62,404.98,83271.11
8,12,person,0.831,751.41,320.14,841.32,575.31,796.37,447.72,89.91,255.16,22942.03
8,13,person,0.6884,31.91,0.09,109.71,217.18,70.81,108.64,77.8,217.09,16888.72
9,1,person,0.8921,110.38,858.71,254.92,1199.61,182.65,1029.16,144.53,340.9,49271.23
9,2,person,0.8763,498.22,478.89,648.42,797.8,573.32,638.34,150.21,318.91,47903.09
9,3,person,0.8797,661.32,1457.94,855.27,1874.06,758.3,1666.0,193.94,416.12,80704.36
9,4,person,0.8825,640.01,310.23,781.39,635.9,710.7,473.06,141.39,325.67,46045.94
9,5,person,0.8545,733.03,1026.51,865.54,1373.26,799.29,1199.88,132.51,346.76,45947.29
