frame,track_id,center_x,center_y,box_area,confidence,time
355,13,324.27,1330.88,46415.34,0.8979,14.2
356,13,324.93,1335.65,46241.55,0.9008,14.24
357,13,325.79,1341.56,46710.99,0.9036,14.28
358,13,326.06,1347.34,46903.37,0.9034,14.32
359,13,326.52,1353.31,47106.1,0.8991,14.36
360,13,326.84,1358.12,47326.85,0.8902,14.4
361,13,326.64,1361.74,46982.66,0.8955,14.44
362,13,326.78,1364.05,46613.96,0.9029,14.48
363,13,327.1,1366.68,46277.75,0.907,14.52
364,13,327.09,1369.17,45603.45,0.9023,14.56
365,13,327.32,1371.67,45578.97,0.8992,14.6
366,13,327.61,1373.73,45131.59,0.8984,14.64
367,13,327.96,1376.23,44716.15,0.9027,14.68
368,13,328.29,1378.86,44407.47,0.8955,14.72
369,13,329.1,1380.98,44234.02,0.898,14.76
370,13,330.61,1383.94,44646.36,0.9042,14.8
371,13,331.55,1391.57,46016.72,0.9024,14.84
372,13,332.29,1400.02,47032.55,0.9038,14.88
373,13,333.6,1408.9,48575.62,0.8982,14.92
374,13,335.22,1415.05,49109.6,0.9035,14.96
375,13,336.33,1420.99,49470.8,0.8967,15.0
376,13,337.6,1426.46,49594.42,0.9014,15.04
377,13,338.87,1432.84,50068.23,0.8996,15.08
378,13,340.74,1438.15,50480.94,0.9056,15.12
379,13,342.74,1443.16,50853.14,0.8991,15.16
380,13,344.48,1447.7,50912.75,0.8979,15.2
381,13,346.48,1451.54,50650.11,0.9015,15.24
382,13,348.53,1454.42,50511.87,0.905,15.28
383,13,350.71,1456.31,50076.51,0.9025,15.32
384,13,352.94,1458.8,49194.25,0.9049,15.36
385,13,354.53,1461.64,48557.39,0.8911,15.4
386,13,355.59,1464.86,47622.99,0.8842,15.44
387,13,356.03,1467.53,46574.75,0.8847,15.48
388,13,356.55,1469.99,45440.48,0.8816,15.52
389,13,357.16,1473.04,44291.21,0.8786,15.56
390,13,358.23,1480.68,44876.26,0.8751,15.6
391,13,359.33,1490.79,46052.23,0.8669,15.64
392,13,361.09,1501.84,48748.92,0.8777,15.68
393,13,361.8,1510.97,49881.98,0.8719,15.72
394,13,361.59,1517.75,49458.82,0.8652,15.76
395,13,361.89,1525.6,49923.02,0.8612,15.8
396,13,362.21,1531.48,49720.87,0.873,15.84
397,13,363.64,1538.51,50783.8,0.8752,15.88
398,13,363.23,1545.17,50989.45,0.867,15.92
399,13,362.99,1550.62,51250.5,0.87,15.96
400,13,362.09,1554.65,50326.54,0.8646,16.0
401,13,362.07,1557.23,50502.79,0.8714,16.04
